platform,text,label_original,pred_sentiment,pred_confidence,pred_keywords,pred_explanation
Facebook,"¿QUE OPINAS TU DE LOS INTEGRANTES DEL GABINETE DE LA PRESIDENTA ELECTA CLAUDIA SHEINBAUM PARDO? 

Claudia Sheinbaum presenta a tres integrantes de su gabinete hoy 18 de julio | : “Son tres jóvenes brillantes” Se trata de Claudia Curiel de Icaza, Marath Bolaños y Josefina Rodríguez Zamora, quienes llegan al gobierno DÍA la más joven de todo el gabinete, pues apenas tiene 35 años.
Quedan pendientes los nombramientos en las secretarías de Marina, Guardia nacional, Defensa Nacional y CFE,

Sheinbaum apuesta por la juventud para gabinete

Claudia Sheinbaum nombró a perfiles jóvenes para sumarse al gabinete legal que entrará en funciones el próximo 1 de octubre.

Se trata de Claudia Curiel de Icaza, Marath Bolaños y Josefina Rodríguez Zamora, quienes llegan al gobierno federal con rangos de edad de los 35 a los 44 años. 

La nueva secretaria de Turismo es la más joven de todo el gabinete, pues apenas tiene 35 años.

La edad mínima marcada por la Constitución - según la reforma aprobada el año pasado - para ocupar una secretaría de Estado es de 25 años de edad.
Ellos son los tres nuevos integrantes del Gabinete de Claudia Sheinbaum
Por cuarta ocasión en su llamado ‘jueves de gabinete’, la presidenta electa de México dio a conocer los perfiles de políticas y políticos reconocidos que se unirán a su equipo el próximo 1 de octubre

Marath Bolaños, quien llegó al gobierno del presidente López Obrador como relevo de Luisa María Alcalde, es confirmado en el cargo para el gobierno de Claudia Sheinbaum.

Destaca su trabajo en la implementación de programas sociales como Jóvenes Construyendo el Futuro, uno de los más importantes del gobierno lopezobradorista. 

Josefina Rodríguez Zamora, la sorpresa en Turismo

La sorpresa llegó al gabinete de Claudia Sheinbaum al nombrar a Josefina Rodríguez Zamora, secretaria de Turismo de Tlaxcala, como nueva titular de Turismo Federal.

Fue impulsora de la marca destino Tlaxcala sí existe.

“Es la más joven del gabinete”, dice Sheinbaum. 

Claudia Curiel asciende a la Secretaría de Cultura

Claudia Curiel de Icaza, la actual secretaria de Cultura de la Ciudad de México asciende al gobierno federal y se instalará como relevo de Alejandra Frausto.

Destaca Claudia Sheinbaum su experiencia de 20 años “aunque es muy joven”.",2,Positive,5.0,"jóvenes brillantes, apuesta por la juventud, más joven del gabinete, perfiles reconocidos","The message highlights the positive attributes of the new cabinet members, emphasizing their youth and recognition, which suggests a favorable sentiment towards the appointments."
Facebook,"Ahora cochitl,costal de mentiras, te la  pusieron dura",0,Negative,4.0,"mentiras, dura","The message contains negative connotations with words like 'mentiras' (lies) and 'dura' (hard), suggesting frustration or disappointment."
Youtube,"¿Qué tanto afectará la reforma al Poder Judicial al superpeso? ¿Puede llegar a los $20 por dólar? __ Los expertos financieros, y columnistas de esta casa editorial, Valeria Moy y Mario Maldonado charlan con Maite Azuela y David Aponte sobre la presión que está ejerciendo la propuesta a la reforma al Poder Judicial al superpeso. ¿Realmente puede depreciarse más el peso a causa de esta reforma? 

#superpeso #dolar #claudiasheinbaum 

-------------------------------------------------

MÁS NOTICIAS DE EL UNIVERSAL: https://www.eluniversal.com.mx/

SUSCRÍBETE a EL UNIVERSAL PLUS: https://www.eluniversal.com.mx/suscripciones-periodico-eluniversal/
Con tu suscripción a EL UNIVERSAL PLUS tienes acceso a contenidos exclusivos

SÍGUENOS EN:
Facebook - https://www.facebook.com/ElUniversalOnline/
Twitter - https://twitter.com/El_Universal_Mx
Google News - http://eluni.mx/sznhf
Spotify - http://eluni.mx/lsbt_s-vu0
TikTok - https://www.tiktok.com/eluniversalmx?lang=es
Instagram - https://www.instagram.com/eluniversalmx/?hl=es-la",2,Negative,4.0,"afectará, reforma, superpeso, depreciarse","The message discusses concerns about the potential negative impact of judicial reform on the value of the peso, indicating a negative sentiment."
Youtube,"💥 Sheinbaum responde a Xochitl de ""ERES BIEN W3Y"" 🎯❌😱👀 #noticias #reels #viral #claudiasheinbaum __",0,Positive,4.0,"responde, ERES BIEN, viral","The use of 'responde' indicates a reaction to a statement, and 'ERES BIEN' suggests a positive affirmation. The hashtags like 'viral' imply a trending or popular topic, which often carries a positive connotation."
X,@catrina_nortena @Claudiashein @fisgonmonero @SergioMayerb @infpmorena Espero que el @fisgonmonero no le diga estúpida a @Claudiashein porque lo evidencía.,0,Negative,4.0,"espero, estúpida, evidencía","The message expresses a concern about a potential insult, indicating a negative sentiment towards the possibility of disrespect."
Facebook,"#YoConClaudia
Si las cosas siguen como hasta el
Día de hoy, el 2 de Junio Claudia Sheinbaum estaría ganando con 2.5 millones de votos más que AMLO en el 2018.
La primera mujer en llegar a la presidencia rompiendo el récord del más grande. 
Vaya momento de la historia que vivimos!",1,Positive,5.0,"ganando, récord, momento de la historia","The message expresses excitement and positivity about Claudia Sheinbaum's potential victory and historical significance, indicating a favorable sentiment."
Youtube,#noticias #ine #mexico #ultimahora #prian #morena #marcharosa #zocalo #jorgemainez #xochitl __,2,Neutral,4.0,"noticias, ultimahora, marcharosa, zocalo","The message contains hashtags related to news and current events in Mexico, which suggests a neutral tone as it does not express a clear positive or negative sentiment."
Instagram,"AGENDA 2024. Invitada @GriseldaGalicia, sábado 6 de enero a las 13:00 hrs. Participan @RocioAragonOax Francisco J. Sánchez @jsanchezoax @heyoaxacamx @HuajuapanNubes @ObjetivoOaxaca @LaCoyunturaOax @XochitlGalvez @xochilove_rs 
 https://www.facebook.com/events/216936224811943/",2,Positive,4.0,"AGENDA 2024, Invitada, Participan","The message shares information about an upcoming event, indicating a positive engagement and anticipation for the agenda."
Instagram,"Únete a nosotros en un Facebook Live especial este 06 de marzo a las 5.00 pm para una conversación significativa sobre el Día de la Mujer y la preocupante realidad del feminicidio en Estados Unidos. 

Junto a @berenice_malagon_luna @jnnybuu @xoxcar #JohannaKelley 
buscaremos crear conciencia y promover el cambio.

 ¡No te pierdas esta importante conversación!  Ingresando en nuestras redes sociales: @enlacelatinonc 
 
#DíaDeLaMujer #StopFeminicidio #ConversaciónImpactante",1,Positive,5.0,"importante conversación, crear conciencia, promover el cambio, #DíaDeLaMujer, #StopFeminicidio","The message encourages participation in a significant discussion about important social issues, which conveys a positive sentiment aimed at raising awareness and promoting change."
Youtube,"RESULTADOS ELECCIONES PRESIDENCIALES MÉXICO 2024 #ENVIVO #Sheinbaum #xochitl #maynez __ 👉 Canal Secundario   https://www.youtube.com/@SERVIMATMX
Contenido exclusivo solo en Telegram   http://t.me/servimatyoutube

Ayuda a este canal a continuar con su labor
https://www.paypal.com/paypalme/servimat
Temu es la empresa China que desafía a Amazon. Si aún no la descargas puedes hacerla a través de este enlace. Así apoyas al canal. Saludos 
https://temu.to/m/udc2s33n8ye
Sigue el canal de Servimat en WhatsApp: https://whatsapp.com/channel/0029Va8wTRuBKfiAYHdTh81d
👉Sigueme en tik tok: https://www.tiktok.com/@servimat
👉noticias diarias en telegram: http://t.me/servimatyoutube
👉noticias diarias en Facebook https://www.facebook.com/servimatcanal  
👉noticias diarias en Twitter  https://twitter.com/servimatoficial
👉noticias diarias en Instagram https://www.instagram.com/servimat_oficial/

 Contacto directo a través de correo electrónico cruz_jjcp@hotmail.com

Si te gustó el vídeo no olvides dar like y compartirlo.

SERVIMAT es una canal que genera y produce vídeos de temas de interés internacional economía, política, pero con una visión humana y una visión alternativa. Una opinion propia y diferente a la realidad que todos aprecian

Gracias",2,Positive,4.0,"RESULTADOS, Ayuda, gusto, like, compartir, visión alternativa",The message expresses a positive sentiment by encouraging engagement (like and share) and presenting the channel's content as valuable and unique.
Facebook,"Mi trabajo favorito es el casa por casa, a ras de suelo, porque te da la satisfacción de haber contribuido realmente con la transformación del país con cada persona convencida, porque con la participación ciudadana se podrá consolidar un gobierno humanista que es lo que pide el pueblo.
Vamos bien, con un trabajo serio y comprometido.
#ClaudiaSheinbaum @claudia_shein",1,Positive,5.0,"satisfacción, contribuido, transformación, participación ciudadana, gobierno humanista, vamos bien, trabajo serio, comprometido","The message expresses a strong sense of satisfaction and commitment towards a positive social change, indicating a favorable view of the work being done."
Facebook,"Me dio mucho gusto visitar la comunidad de #Zacualpan, pues me identifico con su gente; personas de lucha, de resistencia, de coraje para defender sus ideas y su modo de vida; pero también para exigir lo que les corresponde. Hay olvido en esta comunidad de #Comala, a pesar de que desde ahí se dota de agua a gran parte de la zona conurbada de #Colima y #VillaDeÁlvarez. 

Pero no estarán sol@s, junto con mi compañero de fórmula rumbo al #SenadoDeLaRepública Chuy Dueñas  y con Romelia Serrano desde la #CámaraDeDiputados seremos aliados para defender y exigir lo que les corresponde.

Este 2 de junio, vota X Griselda Martínez Senadora de la República 

#LoNuevoVaEnSerio 🦅
#VamosNaranja 🍊
#GriseldaMartínezSenadora 🧡",1,Positive,5.0,"gusto, identifico, lucha, resistencia, coraje, defender, exigir, aliados, vota","The message expresses positive sentiments about visiting a community, identifying with its people, and a commitment to support and defend their rights. The use of enthusiastic language and calls to action further emphasizes a positive outlook."
Youtube,1v1 contra CLAUDIA SHEINBAUM 😱    #warzone #warzoneclips #shorts #claudiasheinbaum #elecciones __,0,Positive,4.0,"CLAUDIA SHEINBAUM, 😱, #warzone, #elecciones","The use of the shocked emoji (😱) suggests a strong emotional reaction, and the hashtags indicate a competitive context, which can imply excitement or intensity."
Instagram,"¡Bienvenido sea el diálogo! 😁Grupo Fórmula se vistió de manteles largos con la asistencia de la candidata por Morena a la Presidencia de México, Claudia Sheinbaum, al foro de #PorLaMañana con Ciro Gómez Leyva.🎥🎙 ¡Así fue el detrás de cámaras!

#4T #Morena #ClaudiaSheinbaum #abriendolaconversación #RadioFórmulaMx",1,Positive,5.0,"Bienvenido, diálogo, vistió de manteles largos, asistencia, candidata, detrás de cámaras","The message expresses a welcoming sentiment towards dialogue and highlights a significant event with positive language, indicating excitement and engagement."
X,"El plan de justicia para el pueblo Yaqui es reflejo del compromiso del gobierno de la 4ta transformación con la dignidad y bienestar de los pueblos indígenas de México. Esa convicción, convertida en política de Estado, seguirá siendo parte del gobierno de la Dra. @Claudiashein.",1,Positive,5.0,"justicia, compromiso, dignidad, bienestar, pueblos indígenas","The message expresses a positive sentiment towards the government's commitment to justice and well-being for indigenous peoples, highlighting a sense of hope and support."
X,"#ULTIMAHORA
🚨 EMPATE ENTRE @AlvarezMaynez y @XochitlGalvez en Encuesta Avalada por el @INEMexico 

Hoy en la encuesta de Covarrubias y Asociados levantada en Jalisco; @Claudiashein lidera por más de 30 puntos mientras la Oposición se pelea por el lejano tercer lugar.

Me https://t.co/eeaWGQardw",2,Neutral,4.0,"EMPATE, lidera, pelea, tercer lugar","The message discusses a political survey where one candidate is leading significantly, while others are in a competitive situation. The use of 'EMPATE' (tie) and 'lidera' (leads) suggests a neutral stance, as it presents facts without expressing a clear positive or negative sentiment."
X,"Lazos.... Criminales. 👇🏽
@XochitlGalvez @FelipeCalderon @AccionNacional @MarkoCortes #XochitlVendePatrias. https://t.co/rfA56SM6MA",0,Negative,5.0,"Criminales, VendePatrias","The message contains negative connotations with the words 'Criminales' and 'VendePatrias', suggesting a strong disapproval or criticism of the mentioned individuals."
Facebook,"Si! Tienes alguna información de algún candidato a senador de la república o DIPUTADO FEDERAL hasta publica!
Para no votar por RATAS!!
Atención Chihuahua con 
LOERA DE LA ROSA Y ANDREA CHAVEZ!",0,Negative,5.0,"no votar, RATAS, candidato, senador, DIPUTADO FEDERAL","The message expresses a negative sentiment towards certain political candidates, using strong language like 'RATAS' to indicate disapproval and a desire to avoid voting for them."
X,@DricardoGR @AlvarezMaynez Lo que queda evidenciado es tu ignorancia y estupidez apoyando la dictadura con ese razonamiento tan falto de propósito de fondo.,0,Negative,5.0,"ignorancia, estupidez, dictadura, falto de propósito","The message expresses strong negative sentiments by using words that indicate a lack of intelligence and support for a dictatorship, which are derogatory in nature."
Youtube,"LA VERDAD EN NOTICIA - 24 ABRIL 2024 __ (Todas las imágenes y música contenidas en esta transmisión son utilizadas sin fines de lucro. No contamos con los derechos de autor)
#DonCleto #LaOreja #Chencho #GuillermoGarza #politica #Satira #satirapolitica #AMLO #4taTransformacion #MemoGarza #Canturosas #mexicomagico #NuevoLaredo #Tamaulipas #CiudadVictoria #monterrey #Frontera #XochitlGalvez #ClaudiaSheinbaum #samuelgarcía #MovimientoCiudadano #pritam #PAN #PartidoDelTrabajo #PartidoVerde
#Elecciones #Elecciones2024MX",2,Neutral,4.0,"noticia, sin fines de lucro, politica, satira, elecciones","The message discusses news and political satire without expressing a clear positive or negative sentiment. It focuses on political topics and upcoming elections, which are neutral in tone."
